Config,None::Sim Time,None::simSeconds,None::simTicks,None::simFreq,None::CPU Performance,None::system.cpu.numCycles,None::system.cpu.cpi,None::system.cpu.ipc,None::system.cpu.commitStats0.numInsts,None::system.cpu.commitStats0.cpi,None::system.cpu.commitStats0.numMemRefs,None::system.cpu.commitStats0.numLoadInsts,None::system.cpu.commitStats0.numStoreInsts,None::system.cpu.fetchStats0.fetchRate,None::system.cpu.executeStats0.instRate,None::Memory Access Timing,None::system.mem_ctrl.dram.numReads,None::system.mem_ctrl.dram.numWrites,None::system.mem_ctrl.dram.totQLat,None::system.mem_ctrl.dram.totBusLat,None::system.mem_ctrl.dram.totMemAccLat,None::system.mem_ctrl.dram.avgQLat,None::system.mem_ctrl.dram.avgBusLat,None::system.mem_ctrl.dram.avgMemAccLat,None::Row Buffer Hits,None::system.mem_ctrl.dram.readRowHits,None::system.mem_ctrl.dram.writeRowHits,None::system.mem_ctrl.dram.readRowHitRate,None::system.mem_ctrl.dram.writeRowHitRate,None::Total + Component Energy Usage,None::system.mem_ctrl.dram.rank0.totalEnergy,None::system.mem_ctrl.dram.rank1.totalEnergy,None::system.mem_ctrl.dram.rank0.actEnergy,None::system.mem_ctrl.dram.rank0.preEnergy,None::system.mem_ctrl.dram.rank0.readEnergy,None::system.mem_ctrl.dram.rank0.writeEnergy,None::system.mem_ctrl.dram.rank1.actEnergy,None::system.mem_ctrl.dram.rank1.preEnergy,None::system.mem_ctrl.dram.rank1.readEnergy,None::system.mem_ctrl.dram.rank1.writeEnergy,None::Power Metrics,None::system.mem_ctrl.dram.rank0.averagePower,None::system.mem_ctrl.dram.rank1.averagePower,None::Energy Breakdown,None::system.mem_ctrl.dram.rank0.actBackEnergy,None::system.mem_ctrl.dram.rank0.preBackEnergy,None::system.mem_ctrl.dram.rank0.actPowerDownEnergy,None::system.mem_ctrl.dram.rank0.prePowerDownEnergy,None::system.mem_ctrl.dram.rank0.pwrStateTime,None::system.mem_ctrl.dram.rank1.actBackEnergy,None::system.mem_ctrl.dram.rank1.preBackEnergy,None::system.mem_ctrl.dram.rank1.actPowerDownEnergy,None::system.mem_ctrl.dram.rank1.prePowerDownEnergy,None::system.mem_ctrl.dram.rank1.pwrStateTime,None::Bus/Memory Throughput,None::system.mem_ctrl.dram.bwTotal,None::system.mem_ctrl.dram.avgRdBW,None::system.mem_ctrl.dram.avgWrBW,None::system.mem_ctrl.dram.peakBW,None::system.mem_ctrl.dram.busUtil
L1_64kB_L2_128kB_assoc_8_NN_128_sigmoid_stats,,0.274425,274424937000.0,1000000000000.0,,274424937.0,5.323387,0.18785,51550818.0,5.323387,0.0,22163025.0,4657370.0,0.18785,0.0,,:total: 756631,:total: 78836,4983377500.0,3743385000.0,19021071250.0,6656.24,5000.0,25406.24,,627426.0,68185.0,83.8,86.57,,142027175925.0,141978394845.0,476273700.0,253130295.0,2648333100.0,201445020.0,464971080.0,247126605.0,2697220680.0,209687400.0,,517.544715,517.366958,,72240822450.0,44544799200.0,0.0,0.0,:IDLE: 115138168500,71679659160.0,45017357760.0,0.0,0.0,:IDLE: 116381789750,,:total: 194843401,174.602675,18.368243,12800.0,1.51
L1_64kB_L2_128kB_assoc_4_NN_128_tanh_activation_stats,,0.282185,282184957000.0,1000000000000.0,,282184957.0,5.478314,0.182538,51509456.0,5.478314,0.0,22151140.0,4656687.0,0.182538,0.0,,:total: 756336,:total: 78860,5194336000.0,3737045000.0,19208254750.0,6949.79,5000.0,25699.79,,624932.0,67518.0,83.61,85.7,,145881000540.0,145967211870.0,477087660.0,253566720.0,2640307740.0,200996100.0,477851640.0,253976580.0,2696192520.0,210266820.0,,516.969445,517.274958,,73940719200.0,46093154880.0,0.0,0.0,:IDLE: 119145612500,74066638470.0,45987117600.0,0.0,0.0,:IDLE: 118879630500,,:total: 189423790,169.513558,17.868791,12800.0,1.46
L1_16kB_L2_32kB_assoc_2_NN_256_tanh_activation_stats,,0.556703,556703040000.0,1000000000000.0,,556703040.0,5.459896,0.183154,101962213.0,5.459896,0.0,43983246.0,9143558.0,0.183154,0.0,,:total: 1502280,:total: 155747,12378781500.0,7494505000.0,40483175250.0,8258.57,5000.0,27008.57,,1120110.0,137191.0,74.73,88.12,,291606618600.0,290484979755.0,1446071340.0,768601350.0,5452825140.0,418732740.0,1390522140.0,739064865.0,5249328000.0,393927300.0,,523.809999,521.79521,,163405636350.0,76169220960.0,0.0,0.0,:IDLE: 196601261750,158286716010.0,80479890720.0,0.0,0.0,:IDLE: 207845046250,,:total: 190611009,172.317478,17.897599,12800.0,1.49
L1_16kB_L2_32kB_assoc_4_NN_64_sigmoid_stats,,0.145454,145454368000.0,1000000000000.0,,145454368.0,5.530192,0.180826,26301867.0,5.530192,0.0,11240248.0,2412994.0,0.180826,0.0,,:total: 385762,:total: 40531,2926489000.0,1913415000.0,10101795250.0,7647.29,5000.0,26397.29,,336025.0,35615.0,87.81,88.02,,75279650925.0,74948345400.0,191744700.0,101899545.0,1361255280.0,103470840.0,176008140.0,93531570.0,1371101340.0,107746020.0,,517.548232,515.270503,,39173742480.0,22866062880.0,0.0,0.0,:IDLE: 59089147750,37138701690.0,24579781440.0,0.0,0.0,:IDLE: 63565124000,,:total: 187569149,168.380725,17.803742,12800.0,1.45
L1_32kB_L2_64kB_assoc_4_NN_256_tanh_activation_stats,,0.555689,555689454000.0,1000000000000.0,,555689454.0,5.449955,0.183488,101962213.0,5.449955,0.0,43983246.0,9143558.0,0.183488,0.0,,:total: 1500488,:total: 155659,12367238000.0,7440055000.0,40267444250.0,8311.25,5000.0,27061.25,,1112485.0,136671.0,74.76,87.84,,291476434560.0,290518927275.0,1431013080.0,760601490.0,5383867020.0,418414320.0,1385374200.0,736340055.0,5240531520.0,393802020.0,,524.531161,522.808063,,166137015930.0,73479895200.0,0.0,0.0,:IDLE: 189559978250,161579174520.0,77318077440.0,0.0,0.0,:IDLE: 199571936750,,:total: 190742162,171.377562,17.920455,12800.0,1.48
L1_64kB_L2_128kB_assoc_8_NN_256_sigmoid_stats,,0.564559,564559410000.0,1000000000000.0,,564559410.0,5.53237,0.180754,102046581.0,5.53237,0.0,44007419.0,9145009.0,0.180754,0.0,,:total: 1500401,:total: 155598,12725670500.0,7419450000.0,40548608000.0,8575.89,5000.0,27325.89,,1103656.0,134718.0,74.38,86.62,,294787474650.0,293821371855.0,1459087560.0,775523430.0,5378497740.0,418122000.0,1404323760.0,746404395.0,5216476860.0,393702840.0,,522.154922,520.443671,,160864944000.0,81325597440.0,0.0,0.0,:IDLE: 209942475750,156458337840.0,85036423680.0,0.0,0.0,:IDLE: 219630235000,,:total: 187728579,168.217832,17.6304,12800.0,1.45
L1_16kB_L2_32kB_assoc_4_NN_256_relu_stats,,0.555771,555770919000.0,1000000000000.0,,555770919.0,5.452333,0.183408,101932684.0,5.452333,0.0,43973736.0,9140521.0,0.183408,0.0,,:total: 1501208,:total: 155706,9740105000.0,7496135000.0,37850611250.0,6496.75,5000.0,25246.75,,1119558.0,137534.0,74.68,88.35,,291093464025.0,290026454565.0,1451669100.0,771580425.0,5455816800.0,418586580.0,1388708580.0,738100935.0,5248663980.0,394047360.0,,523.765195,521.845323,,162817358160.0,76306679040.0,0.0,0.0,:IDLE: 196957878250,158137801230.0,80247358560.0,0.0,0.0,:IDLE: 207235954250,,:total: 190802527,172.644024,17.927041,12800.0,1.49
L1_64kB_L2_128kB_assoc_4_NN_64_tanh_activation_stats,,0.143225,143225286000.0,1000000000000.0,,143225286.0,5.449556,0.183501,26282011.0,5.449556,0.0,11234507.0,2412695.0,0.183501,0.0,,:total: 384171,:total: 40433,2362002500.0,1899570000.0,9485390000.0,6217.2,5000.0,24967.2,,333654.0,34559.0,87.82,85.62,,73993349460.0,73718162670.0,194443620.0,103330260.0,1352751540.0,103251600.0,177293340.0,94222260.0,1359834420.0,107443260.0,,516.62211,514.700754,,37590704280.0,23343180000.0,0.0,0.0,:IDLE: 60333845500,35942751630.0,24730929600.0,0.0,0.0,:IDLE: 63954512500,,:total: 189733648,169.76399,18.036145,12800.0,1.47
L1_32kB_L2_64kB_assoc_4_NN_64_tanh_activation_stats,,0.143302,143302098000.0,1000000000000.0,,143302098.0,5.452478,0.183403,26282011.0,5.452478,0.0,11234507.0,2412695.0,0.183403,0.0,,:total: 384717,:total: 40479,2368390750.0,1905830000.0,9515253250.0,6213.54,5000.0,24963.54,,335939.0,35232.0,88.13,87.18,,74222855130.0,73987094385.0,187032300.0,99398640.0,1354657920.0,103340340.0,172866540.0,91873155.0,1366867320.0,107605080.0,,517.946744,516.301544,,38877707850.0,22288883520.0,0.0,0.0,:IDLE: 57588370250,37417598130.0,23518449600.0,0.0,0.0,:IDLE: 60796920000,,:total: 189896341,170.232148,18.047914,12800.0,1.47
L1_64kB_L2_128kB_assoc_2_NN_256_relu_stats,,0.55533,555330100000.0,1000000000000.0,,555330100.0,5.448008,0.183553,101932684.0,5.448008,0.0,43973736.0,9140521.0,0.183553,0.0,,:total: 1500245,:total: 155599,10154921250.0,7406880000.0,37930721250.0,6855.06,5000.0,25605.06,,1099213.0,133959.0,74.2,86.11,,290203072200.0,289289196075.0,1467484200.0,779971170.0,5354814360.0,418273380.0,1415469300.0,752324595.0,5222210280.0,393807240.0,,522.577602,520.931958,,158960531250.0,79385258400.0,0.0,0.0,:IDLE: 204909628000,154671949860.0,82996695360.0,0.0,0.0,:IDLE: 214331473000,,:total: 190830672,170.723798,17.929055,12800.0,1.47
